rank,total_score,passes,source,listing_id,state,county,acres,price_usd,price_per_acre,title,url,lat,lon,score_state,score_acreage,score_price,score_water,score_access
1,0.7872,True,landwatch,425904284,MI,Berrien,245.0,66000.0,269.39,"Berrien Center, MI, 49102, Berrien County",https://www.landwatch.com/berrien-county-michigan-undeveloped-land-for-sale/pid/425904284,,,1.0,0.9,0.955,0.5,0.5
2,0.7847,True,landwatch,423216758,WI,Waushara,264.0,171800.0,650.76,"Auroraville, WI, 54923, Waushara County",https://www.landwatch.com/waushara-county-wisconsin-recreational-property-for-sale/pid/423216758,,,1.0,0.973,0.892,0.5,0.5
3,0.769,True,landwatch,422789478,MI,Chippewa,280.0,139999.0,500.0,"Trout Lake, MI, 49793, Chippewa County",https://www.landwatch.com/chippewa-county-michigan-recreational-property-for-sale/pid/422789478,,,1.0,0.867,0.917,0.5,0.5
4,0.765,True,landwatch,425527124,MN,Rock,283.0,139900.0,494.35,"Hills, MN, 56138, Rock County",https://www.landwatch.com/rock-county-minnesota-commercial-property-for-sale/pid/425527124,,,1.0,0.847,0.918,0.5,0.5
5,0.7643,True,landwatch,426474449,MI,Ontonagon,240.0,144000.0,600.0,"Ontonagon, MI, 49953, Ontonagon County",https://www.landwatch.com/ontonagon-county-michigan-undeveloped-land-for-sale/pid/426474449,,,1.0,0.867,0.9,0.5,0.5
6,0.7628,True,landwatch,423482951,MI,Marquette,252.0,249900.0,991.67,"Republic, MI, 49879, Marquette County",https://www.landwatch.com/marquette-county-michigan-recreational-property-for-sale/pid/423482951,,,1.0,0.947,0.835,0.5,0.5
7,0.7627,True,landwatch,425464461,IA,Clarke,233.0,98500.0,422.75,"Osceola, IA, 50213, Clarke County",https://www.landwatch.com/clarke-county-iowa-homes-for-sale/pid/425464461,,,1.0,0.82,0.93,0.5,0.5
8,0.7619,True,landandfarm,36749917,OK,Pushmataha,260.0,325000.0,1250.0,"Antlers, OK, 74523",https://www.landandfarm.com/property/260-acres-oklahoma-off-n4220-36749917/,,,1.0,1.0,0.792,0.5,0.5
9,0.7581,True,landwatch,424022360,MN,Saint Louis,249.0,249000.0,1000.0,"Duluth, MN, 55803, Saint Louis County",https://www.landwatch.com/saint-louis-county-minnesota-land-for-sale/pid/424022360,,,1.0,0.927,0.833,0.5,0.5
10,0.7569,True,landwatch,424131592,MI,Alger,240.0,181000.0,754.17,"Deerton, MI, 49822, Alger County",https://www.landwatch.com/alger-county-michigan-undeveloped-land-for-sale/pid/424131592,,,1.0,0.867,0.874,0.5,0.5
11,0.7548,True,landwatch,419870886,MI,Marquette,280.0,224000.0,800.0,"Ishpeming, MI, 49849, Marquette County",https://www.landwatch.com/marquette-county-michigan-undeveloped-land-for-sale/pid/419870886,,,1.0,0.867,0.867,0.5,0.5
12,0.7508,True,landsearch,5177977,NE,Kimball,241.0,220000.0,912.86,"Kimball, NE 69145",https://www.landsearch.com/properties/kimball-ne-69145/5177977,,,1.0,0.873,0.848,0.5,0.5
13,0.7494,True,landwatch,424263930,MI,Marquette,240.0,218900.0,912.08,"Big Bay, MI, 49808, Marquette County",https://www.landwatch.com/marquette-county-michigan-undeveloped-land-for-sale/pid/424263930,,,1.0,0.867,0.848,0.5,0.5
14,0.7478,True,landwatch,426565949,MI,Baraga,280.0,264900.0,946.07,"L'Anse, MI, 49946, Baraga County",https://www.landwatch.com/baraga-county-michigan-undeveloped-land-for-sale/pid/426565949,,,1.0,0.867,0.842,0.5,0.5
15,0.7457,True,landwatch,425765916,IN,Lake,5004.0,75000.0,14.99,"East Chicago, IN, 46312, Lake County",https://www.landwatch.com/lake-county-indiana-homes-for-sale/pid/425765916,,,1.0,0.65,0.998,0.5,0.5
16,0.7457,True,landwatch,426663518,ND,Ward,17010.0,262500.0,15.43,"Minot, ND, 58701, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426663518,,,1.0,0.65,0.997,0.5,0.5
17,0.7451,True,landwatch,426545162,ND,Ward,6250.0,169900.0,27.18,"Minot, ND, 58701, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426545162,,,1.0,0.65,0.995,0.5,0.5
18,0.7449,True,landwatch,426545313,MI,Allegan,15682.0,495000.0,31.56,"Saugatuck, MI, 49453, Allegan County",https://www.landwatch.com/allegan-county-michigan-lakefront-property-for-sale/pid/426545313,,,1.0,0.65,0.995,0.5,0.5
19,0.7446,True,landwatch,426645026,ND,Ward,14375.0,539000.0,37.5,"Surrey, ND, 58785, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426645026,,,1.0,0.65,0.994,0.5,0.5
20,0.7444,True,landwatch,426508289,MS,Holmes,3936.0,167000.0,42.43,"West, MS, 39192, Holmes County",https://www.landwatch.com/holmes-county-mississippi-recreational-property-for-sale/pid/426508289,,,1.0,0.65,0.993,0.5,0.5
21,0.7438,True,landwatch,426628225,NE,Kimball,480.0,456000.0,950.0,"Bushnell, NE, 69128, Kimball County",https://www.landwatch.com/kimball-county-nebraska-farms-and-ranches-for-sale/pid/426628225,,,1.0,0.849,0.842,0.5,0.5
22,0.7436,True,landandfarm,38304539,MS,Bolivar,13000.0,775000.0,59.62,"Beulah, MS, 38726",https://www.landandfarm.com/property/merigold-hunting-club-equity-share-38304539/,,,1.0,0.65,0.99,0.5,0.5
23,0.7429,True,landwatch,426545824,NY,Suffolk,7405.0,549999.0,74.27,"Shirley, NY, 11967, Suffolk County",https://www.landwatch.com/suffolk-county-new-york-homes-for-sale/pid/426545824,,,1.0,0.65,0.988,0.5,0.5
24,0.7426,True,landwatch,426663519,ND,Ward,7692.0,625000.0,81.25,"Minot, ND, 58701, Ward County",https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426663519,,,1.0,0.65,0.986,0.5,0.5
25,0.7422,True,landwatch,426174350,KS,Ellis,262.0,420000.0,1603.05,"Ellis, KS, 67637, Ellis County",https://www.landwatch.com/ellis-county-kansas-farms-and-ranches-for-sale/pid/426174350,,,1.0,0.987,0.733,0.5,0.5
26,0.7414,True,landwatch,420016677,MI,Marquette,480.0,480000.0,1000.0,"Michigamme, MI, 49861, Marquette County",https://www.landwatch.com/marquette-county-michigan-undeveloped-land-for-sale/pid/420016677,,,1.0,0.849,0.833,0.5,0.5
27,0.741,True,landwatch,424954214,MS,Coahoma,7000.0,795000.0,113.57,"Clarksdale, MS, 38614, Coahoma County",https://www.landwatch.com/coahoma-county-mississippi-recreational-property-for-sale/pid/424954214,,,1.0,0.65,0.981,0.5,0.5
28,0.7407,True,landwatch,426484409,IL,Cook,7500.0,900000.0,120.0,"Oak Park, IL, 60304, Cook County",https://www.landwatch.com/cook-county-illinois-homes-for-sale/pid/426484409,,,1.0,0.65,0.98,0.5,0.5
29,0.7404,True,landwatch,425453299,NC,Carteret,7472.0,950000.0,127.14,"Stacy, NC, 28581, Carteret County",https://www.landwatch.com/carteret-county-north-carolina-recreational-property-for-sale/pid/425453299,,,1.0,0.65,0.979,0.5,0.5
