rank,total_score,source,listing_id,url,state,county,acres,price_usd,price_per_acre,lat,lon,elevation_m,water_score,water_distance_m,power_score,power_distance_m,tower_score,tower_distance_m,road_access_score,state_score,acreage_score,price_score,water_crit_score,road_crit_score,title,listed_on
1,0.8095,landwatch,426522635,https://www.landwatch.com/floyd-county-georgia-homes-for-sale/pid/426522635,GA,Floyd,600.0,29999.0,50.0,34.2806496,-85.2199581,200.9,0.5816587462820273,1371.4,0.1329024813086346,286.1,0.7655545380901215,2390.4,,1.0,0.9556,0.9917,0.5,,"Rome, GA, 30165, Floyd County",
2,0.7951,landwatch,426654288,https://www.landwatch.com/escambia-county-florida-homes-for-sale/pid/426654288,FL,Escambia,568.0,282400.0,497.18,30.4843657,-87.1969481,30.1,0.0,,0.6025087684184357,943.5,0.08666323069917846,625.3,,1.0,0.9876,0.9171,0.5,,"Pensacola, FL, 32504, Escambia County",
3,0.7815,landwatch,425418494,https://www.landwatch.com/walker-county-alabama-undeveloped-land-for-sale/pid/425418494,AL,Walker,1070.0,16050.0,15.0,33.8166513,-87.4772828,150.1,0.7883145673234909,792.7,1.0,54449.6,0.661843129043974,2120.8,,1.0,0.8171,0.9975,0.5,,"Townley, AL, 35587, Walker County",
4,0.7782,landwatch,426560234,https://www.landwatch.com/rockdale-county-georgia-homes-for-sale/pid/426560234,GA,Rockdale,550.0,389000.0,707.27,33.6278027,-83.9874389,241.6,1.0,124.7,1.0,2079.4,0.4753149659381011,1635.8,,1.0,0.9556,0.8821,0.5,,"Conyers, GA, 30013, Rockdale County",
5,0.7759,landwatch,422789159,https://www.landwatch.com/klamath-county-oregon-undeveloped-land-for-sale/pid/422789159,OR,Klamath,641.0,275000.0,429.02,42.3973681,-121.0417619,1327.5,0.0,,0.21893649575076535,406.5,1.0,,,1.0,0.8827,0.9285,0.5,,"Bly, OR, 97622, Klamath County",
6,0.7712,landwatch,425995734,https://www.landwatch.com/levy-county-florida-farms-and-ranches-for-sale/pid/425995734,FL,Levy,1248.0,189900.0,152.16,29.3855187,-82.4819181,24.9,0.0,,1.0,1603.0,0.92114440626566,2795.0,,1.0,0.7996,0.9746,0.5,,"Williston, FL, 32696, Levy County",
7,0.7707,landwatch,424856240,https://www.landwatch.com/malheur-county-oregon-recreational-property-for-sale/pid/424856240,OR,Malheur,479.0,142500.0,297.49,44.2902874,-121.5482044,970.9,0.0,,1.0,1858.8,1.0,,,1.0,0.8293,0.9504,0.5,,"Jordan Valley, OR, 97910, Malheur County",
8,0.7671,landwatch,425765916,https://www.landwatch.com/lake-county-indiana-homes-for-sale/pid/425765916,IN,Lake,5004.0,75000.0,14.99,41.6367932,-87.4603373,179.5,0.16503207343124915,2537.9,0.16561062254052478,331.9,0.08719155936047959,626.7,,1.0,0.75,0.9975,0.5,,"East Chicago, IN, 46312, Lake County",
9,0.7671,landwatch,426663518,https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426663518,ND,Ward,17010.0,262500.0,15.43,48.2119583,-101.2955285,532.0,0.0,,1.0,1704.9,0.22319983568216895,980.3,,1.0,0.75,0.9974,0.5,,"Minot, ND, 58701, Ward County",
10,0.7666,landwatch,426545162,https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426545162,ND,Ward,6250.0,169900.0,27.18,48.2119583,-101.2955285,532.0,0.0,,1.0,1704.9,0.22319983568216895,980.3,,1.0,0.75,0.9955,0.5,,"Minot, ND, 58701, Ward County",
